decade,word,tf,occurrences
1650-1700,grain,0.0035211267605633804,"[8818, 20149, 68293]"
1650-1700,deliru,0.0011737089201877935,[9198]
1650-1700,prodromu,0.0011737089201877935,[9198]
1650-1700,viam,0.0011737089201877935,[9198]
1650-1700,reductu,0.0011737089201877935,[9198]
1650-1700,covenant,0.0011737089201877935,[9465]
1650-1700,christian,0.009389671361502348,"[10550, 21200, 33778, 34096, 53714, 65629, 80196, 91516]"
1650-1700,union,0.0011737089201877935,[10550]
1650-1700,religion,0.0035211267605633804,"[11003, 60417, 80866]"
1650-1700,funer,0.002347417840375587,"[11133, 47442]"
1650-1700,build,0.004694835680751174,"[11530, 30614, 43666, 43677]"
1650-1700,collegium,0.002347417840375587,"[11536, 91515]"
1650-1700,cardinalium,0.002347417840375587,"[11536, 91515]"
1650-1700,nobil,0.0011737089201877935,[11809]
1650-1700,cleopatra,0.0011737089201877935,[12428]
1650-1700,queen,0.002347417840375587,"[12428, 14204]"
1650-1700,egypt,0.0011737089201877935,[12428]
1650-1700,medic,0.0011737089201877935,[13120]
1650-1700,mari,0.002347417840375587,"[14204, 17820]"
1650-1700,modena,0.0011737089201877935,[14204]
1650-1700,consort,0.0011737089201877935,[14204]
1650-1700,jame,0.005868544600938967,"[14204, 50340, 77395, 86375, 92304]"
1650-1700,innoc,0.0011737089201877935,[15541]
1650-1700,x,0.0011737089201877935,[15541]
1650-1700,pope,0.0011737089201877935,[15541]
1650-1700,music,0.0035211267605633804,"[15663, 34100, 61496]"
1650-1700,botani,0.0011737089201877935,[15669]
1650-1700,arm,0.0011737089201877935,[15842]
1650-1700,forc,0.0011737089201877935,[15842]
1650-1700,benefic,0.0011737089201877935,[16207]
1650-1700,fire,0.0011737089201877935,[16310]
1650-1700,lead,0.0011737089201877935,[16468]
1650-1700,industri,0.004694835680751174,"[16468, 39044, 63004, 80707]"
1650-1700,engrav,0.0011737089201877935,[16699]
1650-1700,triniti,0.0011737089201877935,[16747]
1650-1700,lyme,0.0011737089201877935,[17820]
1650-1700,regi,0.0011737089201877935,[17820]
1650-1700,ship,0.002347417840375587,"[17820, 56193]"
1650-1700,inherit,0.0011737089201877935,[18086]
1650-1700,success,0.0011737089201877935,[18086]
1650-1700,servitud,0.0011737089201877935,[18206]
1650-1700,roman,0.008215962441314555,"[18206, 21494, 33746, 37944, 50772, 50783, 92325]"
1650-1700,bibl,0.007042253521126761,"[18566, 41916, 41931, 56150, 64925, 76157]"
1650-1700,leipzig,0.0011737089201877935,[20067]
1650-1700,life,0.004694835680751174,"[21200, 65630, 70286, 79670]"
1650-1700,corpor,0.0011737089201877935,[21586]
1650-1700,london,0.0011737089201877935,[21586]
1650-1700,common,0.0011737089201877935,[21586]
